State Name,DISTRICT NAME,Language
ANDAMAN & NICOBAR ISLANDS,NICOBARS,Hindi
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Hindi
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,Hindi
ANDHRA PRADESH,ANANTAPUR,Telugu
ANDHRA PRADESH,CHITTOOR,Telugu
ANDHRA PRADESH,EAST GODAVARI,Telugu
ANDHRA PRADESH,GUNTUR,Telugu
ANDHRA PRADESH,KRISHNA,Telugu
ANDHRA PRADESH,KURNOOL,Telugu
ANDHRA PRADESH,PRAKASAM,Telugu
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,Telugu
ANDHRA PRADESH,SRIKAKULAM,Telugu
ANDHRA PRADESH,VISAKHAPATNAM,Telugu
ANDHRA PRADESH,VIZIANAGARAM,Telugu
ANDHRA PRADESH,WEST GODAVARI,Telugu
ANDHRA PRADESH,Y.S.R.,Telugu
ARUNACHAL PRADESH,ANJAW,Hindi
ARUNACHAL PRADESH,CHANGLANG,Hindi
ARUNACHAL PRADESH,DIBANG VALLEY,Hindi
ARUNACHAL PRADESH,EAST KAMENG,Hindi
ARUNACHAL PRADESH,EAST SIANG,Hindi
ARUNACHAL PRADESH,KRA DAADI,Hindi
ARUNACHAL PRADESH,KURUNG KUMEY,Hindi
ARUNACHAL PRADESH,LOHIT,Hindi
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,Hindi
ARUNACHAL PRADESH,LOWER SIANG,Hindi
ARUNACHAL PRADESH,LOWER SUBANSIRI,Hindi
ARUNACHAL PRADESH,NAMSAI,Hindi
ARUNACHAL PRADESH,PAPUM PARE,Hindi
ARUNACHAL PRADESH,SIANG,Hindi
ARUNACHAL PRADESH,TAWANG,Hindi
ARUNACHAL PRADESH,TIRAP,Hindi
ARUNACHAL PRADESH,UPPER SIANG,Hindi
ARUNACHAL PRADESH,UPPER SUBANSIRI,Hindi
ARUNACHAL PRADESH,WEST KAMENG,Hindi
ARUNACHAL PRADESH,WEST SIANG,Hindi
ASSAM,BAKSA,Hindi
ASSAM,BARPETA,Hindi
ASSAM,BISWANATH,Hindi
ASSAM,BONGAIGAON,Hindi
ASSAM,CACHAR,Hindi
ASSAM,CHARAIDEO,Hindi
ASSAM,CHIRANG,Hindi
ASSAM,DARRANG,Hindi
ASSAM,DHEMAJI,Hindi
ASSAM,DHUBRI,Hindi
ASSAM,DIBRUGARH,Hindi
ASSAM,DIMA HASAO,Hindi
ASSAM,GOALPARA,Hindi
ASSAM,GOLAGHAT,Hindi
ASSAM,HAILAKANDI,Hindi
ASSAM,HOJAI,Hindi
ASSAM,JORHAT,Hindi
ASSAM,KAMRUP,Hindi
ASSAM,KAMRUP METROPOLITAN,Hindi
ASSAM,KARBI ANGLONG,Hindi
ASSAM,KARIMGANJ,Hindi
ASSAM,KOKRAJHAR,Hindi
ASSAM,LAKHIMPUR,Hindi
ASSAM,MAJULI,Hindi
ASSAM,MORIGAON,Hindi
ASSAM,NAGAON,Hindi
ASSAM,NALBARI,Hindi
ASSAM,SIVASAGAR,Hindi
ASSAM,SONITPUR,Hindi
ASSAM,SOUTH SALAMARA-MANKACHAR,Hindi
ASSAM,TINSUKIA,Hindi
ASSAM,UDALGURI,Hindi
ASSAM,WEST KARBI ANGLONG,Hindi
BIHAR,ARARIA,Hindi
BIHAR,ARWAL,Hindi
BIHAR,AURANGABAD,Hindi
BIHAR,BANKA,Hindi
BIHAR,BEGUSARAI,Hindi
BIHAR,BHAGALPUR,Hindi
BIHAR,BHOJPUR,Hindi
BIHAR,BUXAR,Hindi
BIHAR,DARBHANGA,Hindi
BIHAR,GAYA,Hindi
BIHAR,GOPALGANJ,Hindi
BIHAR,JAMUI,Hindi
BIHAR,JEHANABAD,Hindi
BIHAR,KAIMUR (BHABUA),Hindi
BIHAR,KATIHAR,Hindi
BIHAR,KHAGARIA,Hindi
BIHAR,KISHANGANJ,Hindi
BIHAR,LAKHISARAI,Hindi
BIHAR,MADHEPURA,Hindi
BIHAR,MADHUBANI,Hindi
BIHAR,MUNGER,Hindi
BIHAR,MUZAFFARPUR,Hindi
BIHAR,NALANDA,Hindi
BIHAR,NAWADA,Hindi
BIHAR,PASHCHIM CHAMPARAN,Hindi
BIHAR,PATNA,Hindi
BIHAR,PURBI CHAMPARAN,Hindi
BIHAR,PURNIA,Hindi
BIHAR,ROHTAS,Hindi
BIHAR,SAHARSA,Hindi
BIHAR,SAMASTIPUR,Hindi
BIHAR,SARAN,Hindi
BIHAR,SHEIKHPURA,Hindi
BIHAR,SHEOHAR,Hindi
BIHAR,SITAMARHI,Hindi
BIHAR,SIWAN,Hindi
BIHAR,SUPAUL,Hindi
BIHAR,VAISHALI,Hindi
CHANDIGARH,CHANDIGARH,Hindi
CHHATTISGARH,BALOD,Hindi
CHHATTISGARH,BALODA BAZAR,Hindi
CHHATTISGARH,BALRAMPUR,Hindi
CHHATTISGARH,BASTAR,Hindi
CHHATTISGARH,BEMETARA,Hindi
CHHATTISGARH,BIJAPUR,Hindi
CHHATTISGARH,BILASPUR,Hindi
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,Hindi
CHHATTISGARH,DHAMTARI,Hindi
CHHATTISGARH,DURG,Hindi
CHHATTISGARH,GARIYABAND,Hindi
CHHATTISGARH,JANJGIR - CHAMPA,Hindi
CHHATTISGARH,JASHPUR,Hindi
CHHATTISGARH,KABEERDHAM,Hindi
CHHATTISGARH,KONDAGAON,Hindi
CHHATTISGARH,KORBA,Hindi
CHHATTISGARH,KORIYA,Hindi
CHHATTISGARH,MAHASAMUND,Hindi
CHHATTISGARH,MUNGELI,Hindi
CHHATTISGARH,NARAYANPUR,Hindi
CHHATTISGARH,RAIGARH,Hindi
CHHATTISGARH,RAIPUR,Hindi
CHHATTISGARH,RAJNANDGAON,Hindi
CHHATTISGARH,SUKMA,Hindi
CHHATTISGARH,SURAJPUR,Hindi
CHHATTISGARH,SURGUJA,Hindi
CHHATTISGARH,UTTAR BASTAR KANKER,Hindi
DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,Hindi
DAMAN AND DIU,DAMAN,Hindi
DAMAN AND DIU,DIU,Hindi
GOA,NORTH GOA,Marathi
GOA,SOUTH GOA,Marathi
GUJARAT,AHMADABAD,Hindi
GUJARAT,AMRELI,Hindi
GUJARAT,ANAND,Hindi
GUJARAT,ARVALLI,Hindi
GUJARAT,BANAS KANTHA,Hindi
GUJARAT,BHARUCH,Hindi
GUJARAT,BHAVNAGAR,Hindi
GUJARAT,BOTAD,Hindi
GUJARAT,CHHOTA UDEPUR,Hindi
GUJARAT,DEVBHOOMI DWARKA,Hindi
GUJARAT,DOHAD,Hindi
GUJARAT,GANDHINAGAR,Hindi
GUJARAT,GIR SOMNATH,Hindi
GUJARAT,JAMNAGAR,Hindi
GUJARAT,JUNAGADH,Hindi
GUJARAT,KACHCHH,Hindi
GUJARAT,KHEDA,Hindi
GUJARAT,MAHESANA,Hindi
GUJARAT,MAHISAGAR,Hindi
GUJARAT,MORBI,Hindi
GUJARAT,NARMADA,Hindi
GUJARAT,NAVSARI,Hindi
GUJARAT,PANCH MAHALS,Hindi
GUJARAT,PATAN,Hindi
GUJARAT,PORBANDAR,Hindi
GUJARAT,RAJKOT,Hindi
GUJARAT,SABAR KANTHA,Hindi
GUJARAT,SURAT,Hindi
GUJARAT,SURENDRANAGAR,Hindi
GUJARAT,TAPI,Hindi
GUJARAT,THE DANGS,Hindi
GUJARAT,VADODARA,Hindi
GUJARAT,VALSAD,Hindi
HARYANA,AMBALA,Hindi
HARYANA,BHIWANI,Hindi
HARYANA,CHARKHI DADRI,Hindi
HARYANA,FARIDABAD,Hindi
HARYANA,FATEHABAD,Hindi
HARYANA,GURGAON,Hindi
HARYANA,HISAR,Hindi
HARYANA,JHAJJAR,Hindi
HARYANA,JIND,Hindi
HARYANA,KAITHAL,Hindi
HARYANA,KARNAL,Hindi
HARYANA,KURUKSHETRA,Hindi
HARYANA,MAHENDRAGARH,Hindi
HARYANA,MEWAT,Hindi
HARYANA,PALWAL,Hindi
HARYANA,PANCHKULA,Hindi
